epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy
75;1577397591.203619;1577397815.74839;Model1490000;400000;6.027979850769043;5.792985439300537;0.235016867518425;0.10055000334978104;6.017398357391357;5.788976669311523;0.22842958569526672;0.10457000136375427
76;1577397815.7530015;1577398040.3953342;Model1494000;200000;6.028980731964111;5.792879581451416;0.23611600697040558;0.10068000108003616;6.016002178192139;5.785296440124512;0.2307220697402954;0.10831999778747559
77;1577398040.4001126;1577398265.2751532;Model1487000;400000;6.028217792510986;5.791363716125488;0.23686695098876953;0.10224000364542007;6.012526512145996;5.78485631942749;0.22768983244895935;0.10875000059604645
78;1577398265.280249;1577398489.3562062;Model1477000;200000;6.013029098510742;5.784067630767822;0.22898106276988983;0.1096000000834465;6.01119327545166;5.785722255706787;0.22548744082450867;0.10819000005722046
79;1577398489.3611217;1577398713.8929005;Model1495000;400000;6.018327236175537;5.78607702255249;0.23227381706237793;0.10753999650478363;6.0100274085998535;5.7822160720825195;0.2278173565864563;0.1111299991607666
80;1577398713.897297;1577398938.6105206;Model1482000;200000;6.009618759155273;5.781904697418213;0.2277170717716217;0.11174999922513962;6.009882926940918;5.785593509674072;0.2242969572544098;0.10789000242948532
81;1577398938.6151278;1577399163.3289058;Model1496000;200000;6.015806674957275;5.784268379211426;0.23154591023921967;0.1092899963259697;6.003342151641846;5.77796745300293;0.22539377212524414;0.11562000215053558
82;1577399163.3335743;1577399385.840284;Model1497000;200000;6.0050835609436035;5.778031826019287;0.22705449163913727;0.1156499981880188;6.012265682220459;5.778503894805908;0.23376666009426117;0.1151600033044815
83;1577399385.8457465;1577399607.762553;Model1484000;100000;6.0117998123168945;5.780801296234131;0.23100480437278748;0.11292000114917755;6.000639915466309;5.776431560516357;0.22422058880329132;0.11727999895811081
84;1577399607.76811;1577399829.6972384;Model1497000;300000;6.002464771270752;5.779665946960449;0.2228115350008011;0.11388999968767166;6.000733375549316;5.777008056640625;0.22372186183929443;0.11661999672651291
85;1577399829.7028692;1577400055.5395339;Model1498000;100000;5.998902797698975;5.772559642791748;0.22635996341705322;0.1212100014090538;5.998576641082764;5.775502681732178;0.22308449447155;0.11829999834299088
86;1577400055.5443733;1577400280.2180872;Model1476000;100000;6.004419803619385;5.775587558746338;0.2288493812084198;0.11811000108718872;6.002922058105469;5.778458595275879;0.22447505593299866;0.11512000113725662
